</S>       </s rsh 
CHLEBA       x l e b a 
CHLEBY       x l e b i 
CHLEBÍKY       x l e b ii k i 
CHLEBÍČKY       x l e b ii ch k i 
CHLOŘE       x l o rzh e 
CHLUBILA       x l u b i l a 
CHLUP       x l u p 
CHLUPŮ       x l u p uu 
CHLÉB       x l ee p 
CHLÍVA       x l ii v a 
CHMELNICI       x m e l nj i c i 
CHODBU       x o d b u 
CHODIJOU       x o dj i j ow 
CHODILA       x o dj i l a 
CHODILI       x o dj i l i 
CHODIM       x o dj i m 
CHODIT       x o dj i t 
CHODOV       x o d o f 
CHODOVA       x o d o v a 
CHODOVSKÁ       x o d o f s k aa 
CHODOVĚ       x o d o v j e 
CHODÍ       x o dj ii 
CHODÍCÍHO       x o dj ii c ii h o 
CHODÍM       x o dj ii m 
CHODÍME       x o dj ii m e 
CHODÍTE       x o dj ii t e 
CHODÍVÁ       x o dj ii v aa 
CHODÍŠ       x o dj ii sh 
CHORMICKÝM       x o r m i c k ii m 
CHORVATSKU       x o r v a t s k u 
CHOVAL       x o v a l 
CHOVALA       x o v a l a 
CHOVAT       x o v a t 
CHOVÁ       x o v aa 
CHOVÁNÍ       x o v aa nj ii 
CHOZENÍ       x o z e nj ii 
CHOĎ       x o tj 
CHRAPOT       x r a p o t 
CHRASTI       x r a s tj i 
CHRASTÍ       x r a s tj ii 
CHRAŇ       x r a nj 
CHROCHTÁ       x r o x t aa 
CHROSTÍ       x r o s tj ii 
CHRUDIMKY       x r u dj i m k i 
CHRÁNIT       x r aa nj i t 
CHRÁNÍ       x r aa nj ii 
CHRÁNĚNÝM       x r aa nj e n ii m 
CHRÁPAL       x r aa p a l 
CHRÁPALI       x r aa p a l i 
CHRÁPE       x r aa p e 
CHRÁPÁ       x r aa p aa 
CHTÍT       x tj ii t 
CHTĚJ       x tj e j 
CHTĚJÍ       x tj e j ii 
CHTĚL       x tj e l 
CHTĚLA       x tj e l a 
CHTĚLI       x tj e l i 
CHTĚLO       x tj e l o 
CHTĚT       x tj e t 
CHUCHLE       x u x l e 
CHUCHVALCE       x u x v a l c e 
CHUDÁK       x u d aa k 
CHUDÁČEK       x u d aa ch e k 
CHUDÁČKOVI       x u d aa ch k o v i 
CHULIGÁNÍ       x u l i g aa nj ii 
CHUMÁČE       x u m aa ch e 
CHURCHILLA       x u r ch i l a 
CHUTI       x u tj i 
CHUTNAT       x u t n a t 
CHUTNÁ       x u t n aa 
CHUŤ       x u tj 
CHVAL       x v a l 
CHVALTE       x v a l t e 
CHVILIČKU       x v i l i ch k u 
CHVILKA       x v i l k a 
CHVILKOU       x v i l k ow 
CHVILKU       x v i l k u 
CHVILOU       x v i l ow 
CHVILU       x v i l u 
CHVOJÍ       x v o j ii 
CHVÁLY       x v aa l i 
CHVÍLAMA       x v ii l a m a 
CHVÍLE       x v ii l e 
CHVÍLEMA       x v ii l e m a 
CHVÍLI       x v ii l i 
CHVÍLKU       x v ii l k u 
CHVÍLOU       x v ii l ow 
CHVÍLU       x v ii l u 
CHVÍLÍ       x v ii l ii 
CHVÍPLA       x v ii p l a 
CHYB       x i p 
CHYBA       x i b a 
CHYBU       x i b u 
CHYBY       x i b i 
CHYBÁCH       x i b aa x 
CHYBÍ       x i b ii 
CHYBÍŠ       x i b ii sh 
CHYBĚLA       x i b j e l a 
CHYBĚLO       x i b j e l o 
CHYBĚLY       x i b j e l i 
CHYSTAJ       x i s t a j 
CHYSTAJÍ       x i s t a j ii 
CHYSTALA       x i s t a l a 
CHYSTAM       x i s t a m 
CHYSTÁ       x i s t aa 
CHYSTÁM       x i s t aa m 
CHYSTÁŠ       x i s t aa sh 
CHYTALY       x i t a l i 
CHYTAT       x i t a t 
CHYTILA       x i tj i l a 
CHYTIT       x i tj i t 
CHYTLA       x i t l a 
CHYTNE       x i t n e 
CHYTNI       x i t nj i 
CHYTNOU       x i t n ow 
CHYTÁ       x i t aa 
CHYTŘE       x i t rsh e 
CHÁPALA       x aa p a l a 
CHÁPEŠ       x aa p e sh 
CHÁPOU       x aa p ow 
CHÁPU       x aa p u 
CHÍLE       x ii l e 
CHÍLU       x ii l u 
CHŮZE       x uu z e 
CHŮZI       x uu z i 
CHŮĎO       x uu dj o 
CIBULI       c i b u l i 
CIBULU       c i b u l u 
CIGARETOVYM       c i g a r e t o v i m 
CIGARETY       c i g a r e t i 
CIGOŠI       c i g o sh i 
CIHLÁCH       c i h l aa x 
CINKNI       c i ng k nj i 
CIRKLEON       c i r k l e o n 
CIRKLEONU       c i r k l e o n u 
CIRKULACE       c i r k u l a c e 
CIRKUSOVÝ       c i r k u s o v ii 
CIRKUSŮM       c i r k u s uu m 
CITLIVÝ       c i t l i v ii 
CIVILIZACE       c i v i l i z a c e 
CIVILU       c i v i l u 
CIZEJŠÍHO       c i z e j sh ii h o 
CIZINY       c i z i n i 
CIZOTA       c i z o t a 
CIZÍ       c i z ii 
CIZÝMI       c i z ii m i 
CO       c o 
COKOLI       c o k o l i 
COKOLIV       c o k o l i f 
COPA       c o p a 
COPAK       c o p a k 
COS       c o s 
COSI       c o s i 
COSIK       c o s i k 
COURALA       c ow r a l a 
COUVAT       c ow v a t 
COUVÁ       c ow v aa 
COŽ       c o sh 
COŽE       c o zh e 
CPÁT       c p aa t 
CTNOSTÍ       c t n o s tj ii 
CUCAL       c u c a l 
CUCAT       c u c a t 
CUKALO       c u k a l o 
CUKAT       c u k a t 
CUKETU       c u k e t u 
CUKINU       c u k i n u 
CUKR       c u k r 
CUKRLIKUJOU       c u k r l i k u j ow 
CUKROVKÁŘ       c u k r o f k aa rsh 
CUKROVÁ       c u k r o v aa 
CUKÍNU       c u k ii n u 
CUKÍNY       c u k ii n i 
CULÍ       c u l ii 
CVIKO       c v i k o 
CVIKY       c v i k i 
CVIČENI       c v i ch e nj i 
CVIČENÍ       c v i ch e nj ii 
CVIČIL       c v i ch i l 
CVIČNÁ       c v i ch n aa 
CVIČÍCÍ       c v i ch ii c ii 
CYKLECH       c i k l e x 
CYKLO       c i k l o 
CZ       c s 
CÉDÉČKO       c ee d ee ch k o 
CÉDÉČKU       c ee d ee ch k u 
CÉSAR       c ee s a r 
CÉVNÍ       c ee v nj ii 
CÉČKÁCH       c ee ch k aa x 
CÍLE       c ii l e 
CÍLEM       c ii l e m 
CÍLOVOU       c ii l o v ow 
CÍLOVÁ       c ii l o v aa 
CÍRKVE       c ii r k v e 
CÍSAŘA       c ii s a rzh a 
CÍTIL       c ii tj i l 
CÍTILA       c ii tj i l a 
CÍTIT       c ii tj i t 
CÍTÍM       c ii tj ii m 
CÍTÍŠ       c ii tj ii sh 
D       t 
DAICHMANOVI       d a i x m a n o v i 
DAJ       d a j 
DAJÍ       d a j ii 
DAL       d a l 
DALA       d a l a 
DALDOVI       d a l d o v i 
DALECE       d a l e c e 
DALEKO       d a l e k o 
DALEKOHLEDEM       d a l e k o h l e d e m 
DALEKÉM       d a l e k ee m 
DALI       d a l i 
DALO       d a l o 
DALY       d a l i 
DALŠÍ       d a l sh ii 
DALŠÍCH       d a l sh ii x 
DALŠÍHO       d a l sh ii h o 
DALŠÍM       d a l sh ii m 
DALŠÍMI       d a l sh ii m i 
DAM       d a m 
DAN       d a n 
DANA       d a n a 
DANIEL       d a n i e l 
DANOU       d a n ow 
DANU       d a n u 
DANY       d a n i 
DANÉ       d a n ee 
DANÝ       d a n ii 
DANÝHO       d a n ii h o 
DANĚ       d a nj e 
DARY       d a r i 
DAT       d a t 
DATA       d a t a 
DATABÁZE       d a t a b aa z e 
DATABÁZI       d a t a b aa z i 
DATAMA       d a t a m a 
DATUM       d a t u m 
DAV       d a f 
DAVID       d a v i t 
DAVIDA       d a v i d a 
DAVIDEM       d a v i d e m 
DAVIDOVI       d a v i d o v i 
DAVY       d a v i 
DAŇ       d a nj 
DAŇCI       d a nj c i 
DAŇKY       d a nj k i 
DAŘÍ       d a rzh ii 
DBANÁCTÉ       d b a n aa c t ee 
DBÁT       d b aa t 
DCERA       t c e r a 
DCERU       t c e r u 
DCERY       t c e r i 
DE       d e 
DEBATU       d e b a t u 
DEBIL       d e b i l 
DEBILEM       d e b i l e m 
DEBILNÍ       d e b i l nj ii 
DEBILNĚ       d e b i l nj e 
DEBUTOVÉ       d e b u t o v ee 
DECHU       d e x u 
DEFEKTY       d e f e k t i 
DEFENZÍVOU       d e f e n z ii v ow 
DEFICIT       d e f i c i t 
DEFICITNÍHO       d e f i c i t nj ii h o 
DEFINICE       d e f i nj i c e 
DEFINICI       d e f i n i c i 
DEFINITIVNÍ       d e f i n i t i v nj ii 
DEFINOVALI       d e f i n o v a l i 
DEJ       d e j 
DEJCHNEMAK       d e j x n e m a k 
DEJME       d e j m e 
DEJTE       d e j t e 
DEJVIC       d e j v i c 
DEJVICKOU       d e j v i c k ow 
DEJVICKÁ       d e j v i c k aa 
DEJVICKÉ       d e j v i c k ee 
DEJVICKÝ       d e j v i c k ii 
DEKA       d e k a 
DEKOU       d e k ow 
DEKRETŮ       d e k r e t uu 
DEKU       d e k u 
DEKUJI       d e k u j i 
DELEGÁTŮ       d e l e g aa t uu 
DELŠÍ       d e l sh ii 
DEMOKRACIE       d e m o k r a c i e 
DEMOKRATI       d e m o k r a tj i 
DEMOKRATŮ       d e m o k r a t uu 
DEMONSTRACE       d e m o n s t r a c e 
DEN       d e n 
DENNĚ       d e nj e 
DENÍKŮ       d e nj ii k uu 
DEPARTMENT       d e p a r t m e n t 
DEPO       d e p o 
DEPOSIT       d e p o s i t 
DEPRESE       d e p r e s e 
DEPRESY       d e p r e s i 
DEPRESÍ       d e p r e s ii 
DERBY       d e r b i 
DESCE       d e s c e 
DESET       d e s e t 
DESETI       d e s e tj i 
DESETKRÁT       d e s e t k r aa t 
DESKAMI       d e s k a m i 
DESKOU       d e s k ow 
DESKY       d e s k i 
DESTIČEK       d e s tj i ch e k 
DESTIČKA       d e s tj i ch k a 
DESÁTÉ       d e s aa t ee 
DESÁTÉHO       d e s aa t ee h o 
DESÁTÝ       d e s aa t ii 
DESÍTEK       d e s ii t e k 
DESÍTI       d e s ii tj i 
DETAILY       d e t a i l i 
DETAJLNÍ       d e t a j l nj ii 
DETE       d e t e 
DETRALEX       d e t r a l e k s 
DEVADESÁT       d e v a d e s aa t 
DEVATENÁCET       d e v a t e n aa c e t 
DEVATENÁCT       d e v a t e n aa c t 
DEVATENÁCTI       d e v a t e n aa c tj i 
DEVATENÁCTÉ       d e v a t e n aa c t ee 
DEVATÉHO       d e v a t ee h o 
DEVÁTOU       d e v aa t ow 
DEVÁTÁ       d e v aa t aa 
DEVÁTÉ       d e v aa t ee 
DEVÁTÉHO       d e v aa t ee h o 
DEVÁTÝ       d e v aa t ii 
DEVÍTEK       d e v ii t e k 
DEVÍTI       d e v ii tj i 
DEVÍTKOU       d e v ii t k ow 
DEVĚT       d e v j e t 
DEŠ       d e sh 
DEŠTNÍK       d e sh t nj ii k 
DEŠTNÍKY       d e sh t nj ii k i 
DEŠTĚ       d e sh tj e 
DI       dj i 
DIAKRITIKY       dj i a k r i t i k i 
DIALOGOVEJ       dj i a l o g o v e j 
DIALOGU       dj i a l o g u 
DIANĚ       dj i a nj e 
DIETA       d i e t a 
DIETKA       d i e t k a 
DIETNÍ       d i e t nj ii 
DIETU       d i e t u 
DIETĚ       d i e tj e 
DIKTATUROU       d i k t a t u r ow 
DIPLOMACIE       d i p l o m a c i e 
DIPLOMKA       d i p l o m k a 
DIPLOMKOU       d i p l o m k ow 
DIPLOMOVOU       d i p l o m o v ow 
DIPLOMU       d i p l o m u 
DIRIGENT       d i r i g e n t 
DISCIPLÍNU       dj i s c i p l ii n u 
DISERTACÍ       dj i s e r t a c ii 
DISK       d i s k 
DISKETA       d i s k e t a 
DISKU       d i s k u 
DISKUTABILNÍ       d i s k u t a b i l nj ii 
DISKUTOVAT       d i s k u t o v a t 
DISKUZE       d i s k u z e 
DISPLEJ       d i s p l e j 
DISPLEJE       d i s p l e j e 
DIVADELNÍCH       dj i v a d e l nj ii x 
DIVADELNÍKŮ       dj i v a d e l nj ii k uu 
DIVADLA       dj i v a d l a 
DIVADLEM       dj i v a d l e m 
DIVADLO       dj i v a d l o 
DIVADLU       dj i v a d l u 
DIVADLÓ       dj i v a d l o 
DIVADÝLKO       dj i v a d ii l k o 
DIVEJ       dj i v e j 
DIVIDENDY       d i v i d e n d i 
DIVIM       dj i v i m 
DIVIZOVÉHO       dj i v i z o v ee h o 
DIVNEJ       dj i v n e j 
DIVNÉ       dj i v n ee 
DIVNÝ       dj i v n ii 
DIVNĚ       dj i v nj e 
DIVOKÁ       dj i v o k aa 
DIVOKÉ       dj i v o k ee 
DIVOKÝ       dj i v o k ii 
DIVOTVORNÝ       dj i v o t v o r n ii 
DIVÍŠ       dj i v ii sh 
DLABEŠ       d l a b e sh 
DLANI       d l a nj i 
DLANĚ       d l a nj e 
DLOUHEJ       d l ow h e j 
DLOUHO       d l ow h o 
DLOUHODOBEJ       d l ow h o d o b e j 
DLOUHODOBÁ       d l ow h o d o b aa 
DLOUHODOBÝ       d l ow h o d o b ii 
DLOUHODOBĚ       d l ow h o d o b j e 
DLOUHOU       d l ow h ow 
DLOUHYM       d l ow h i m 
DLOUHÁ       d l ow h aa 
DLOUHÉ       d l ow h ee 
DLOUHÉHO       d l ow h ee h o 
DLOUHÝ       d l ow h ii 
DLUH       d l u x 
DLUHOPISECH       d l u h o p i s e x 
DLUHY       d l u h i 
DLUŽNÍKA       d l u zh nj ii k a 
DLUŽNÍKY       d l u zh nj ii k i 
DLÁTAMA       d l aa t a m a 
DNE       d n e 
DNECH       d n e x 
DNEM       d n e m 
DNES       d n e s 
DNESKA       d n e s k a 
DNEŠEK       d n e sh e k 
DNEŠKA       d n e sh k a 
DNEŠKU       d n e sh k u 
DNEŠNÍ       d n e sh nj ii 
DNI       d nj i 
DNY       d n i 
DNÍ       d nj ii 
DNĚ       d nj e 
DNŮ       d n uu 
DNŮM       d n uu m 
DO       d o 
DOBA       d o b a 
DOBEREŠ       d o b e r e sh 
DOBILA       d o b i l a 
DOBOU       d o b ow 
DOBRE       d o b r e 
DOBREJ       d o b r e j 
DOBRO       d o b r o 
DOBRODRUŽNEJ       d o b r o d r u zh n e j 
DOBROOU       d o b r o ow 
DOBROU       d o b r ow 
DOBROVOLNĚ       d o b r o v o l nj e 
DOBRY       d o b r i 
DOBRYM       d o b r i m 
DOBRÁ       d o b r aa 
DOBRÉ       d o b r ee 
DOBRÉHO       d o b r ee h o 
DOBRÉMU       d o b r ee m u 
DOBRÝ       d o b r ii 
DOBRÝHO       d o b r ii h o 
DOBRÝM       d o b r ii m 
DOBU       d o b u 
DOBY       d o b i 
DOBYTKA       d o b i t k a 
DOBÍ       d o b ii 
DOBÍJET       d o b ii j e t 
DOBÍT       d o b ii t 
DOBĚ       d o b j e 
DOBŘE       d o b rzh e 
DOBŘENICE       d o b rzh e nj i c e 
DOBŘÍ       d o b rzh ii 
DOCELA       d o c e l a 
DOCHÁZET       d o x aa z e t 
DOD       d o t 
DODATEK       d o d a t e k 
DODATEČNĚ       d o d a t e ch nj e 
DODRŽOVÁNÍ       d o d r zh o v aa nj ii 
DODÁVAT       d o d aa v a t 
DODÁVEK       d o d aa v e k 
DODÁVKU       d o d aa f k u 
DODÁŠ       d o d aa sh 
DODĚLALA       d o dj e l a l a 
DODĚLAT       d o dj e l a t 
DOHADUJE       d o h a d u j e 
DOHLED       d o h l e t 
DOHLEDEM       d o h l e d e m 
DOHLEDNU       d o h l e d n u 
DOHLEDÁM       d o h l e d aa m 
DOHLÍDNOUT       d o h l ii d n ow t 
DOHLÍŽENÍ       d o h l ii zh e nj ii 
DOHNAT       d o h n a t 
DOHODLA       d o h o d l a 
DOHODLI       d o h o d l i 
DOHODNOU       d o h o d n ow 
DOHODNUTÝCH       d o h o d n u t ii x 
DOHOPSAL       d o h o p s a l 
DOHRAJEM       d o h r a j e m 
DOHRAJETE       d o h r a j e t e 
DOHROMADY       d o h r o m a d i 
DOJDE       d o j d e 
DOJDEŠ       d o j d e sh 
DOJDU       d o j d u 
DOJECT       d o j e c t 
DOJED       d o j e t 
DOJEDE       d o j e d e 
DOJEDEŠ       d o j e d e sh 
DOJEDLA       d o j e d l a 
DOJEDU       d o j e d u 
DOJEL       d o j e l 
DOJELA       d o j e l a 
DOJELI       d o j e l i 
DOJEM       d o j e m 
DOJET       d o j e t 
DOJEĎ       d o j e tj 
DOJIM       d o j i m 
DOJMEM       d o j m e m 
DOJÍT       d o j ii t 
DOKECEJ       d o k e c e j 
DOKLADAMA       d o k l a d a m a 
DOKLADY       d o k l a d i 
DOKOLIKA       d o k o l i k a 
DOKONALEJŠÍ       d o k o n a l e j sh ii 
DOKONALÝ       d o k o n a l ii 
DOKONCE       d o k o n c e 
DOKONČIT       d o k o n ch i t 
DOKOUKALA       d o k ow k a l a 
DOKRESLILA       d o k r e s l i l a 
DOKTOR       d o k t o r 
DOKTORA       d o k t o r a 
DOKTORAMA       d o k t o r a m a 
DOKTORANDY       d o k t o r a n d i 
DOKTORCE       d o k t o r c e 
DOKTOREM       d o k t o r e m 
DOKTORKA       d o k t o r k a 
DOKTORKO       d o k t o r k o 
DOKTORKOU       d o k t o r k ow 
DOKTORKU       d o k t o r k u 
DOKTORKY       d o k t o r k i 
DOKTOROVI       d o k t o r o v i 
DOKTORSKÝ       d o k t o r s k ii 
DOKTORSKÝHO       d o k t o r s k ii h o 
DOKTORSKÝM       d o k t o r s k ii m 
DOKTORY       d o k t o r i 
DOKTORÁT       d o k t o r aa t 
DOKTORŮM       d o k t o r uu m 
DOKUD       d o k u t 
DOKUĎ       d o k u tj 
DOKÁZAL       d o k aa z a l 
DOKÁZALA       d o k aa z a l a 
DOKÁZALI       d o k aa z a l i 
DOKÁZAT       d o k aa z a t 
DOLAM       d o l a m 
DOLARU       d o l a r u 
DOLARŮ       d o l a r uu 
DOLAĎUJEŠ       d o l a dj u j e sh 
DOLE       d o l e 
DOLEJZÁ       d o l e j z aa 
DOLETĚL       d o l e tj e l 
DOLEVA       d o l e v a 
DOLU       d o l u 
DOLÉČÍ       d o l ee ch ii 
DOLÍČENÉ       d o l ii ch e n ee 
DOLŮ       d o l uu 
DOM       d o m 
DOMA       d o m a 
DOMINOVOU       d o m i n o v ow 
DOMLUOUVALA       d o m l u ow v a l a 
DOMLUV       d o m l u f 
DOMLUVENI       d o m l u v e nj i 
DOMLUVENO       d o m l u v e n o 
DOMLUVENÍ       d o m l u v e nj ii 
DOMLUVENÝ       d o m l u v e n ii 
DOMLUVIL       d o m l u v i l 
DOMLUVILA       d o m l u v i l a 
DOMLUVILI       d o m l u v i l i 
DOMLUVILY       d o m l u v i l i 
DOMLUVIM       d o m l u v i m 
DOMLUVIT       d o m l u v i t 
DOMLUVTE       d o m l u f t e 
DOMLUVÍ       d o m l u v ii 
DOMLUVÍM       d o m l u v ii m 
DOMLUVÍME       d o m l u v ii m e 
DOMNĚNKA       d o m nj e ng k a 
DOMOV       d o m o f 
DOMOVA       d o m o v a 
DOMOVECH       d o m o v e x 
DOMU       d o m u 
DOMÁCNOST       d o m aa c n o s t 
DOMÁCÍ       d o m aa c ii 
DOMÁCÍCH       d o m aa c ii x 
DOMÁCÍM       d o m aa c ii m 
DOMŮ       d o m uu 
DONALD       d o n a l t 
DONESL       d o n e s l 
DONESLA       d o n e s l a 
DONUTĚJ       d o n u tj e j 
DONÉST       d o n ee s t 
DONÝST       d o n ii s t 
DOPADLO       d o p a d l o 
DOPADLY       d o p a d l i 
DOPADNE       d o p a d n e 
DOPADÁ       d o p a d aa 
DOPIS       d o p i s 
DOPISAMA       d o p i s a m a 
DOPLATKY       d o p l a t k i 
DOPLATĚJ       d o p l a tj e j 
DOPLNIL       d o p l nj i l 
DOPLNIM       d o p l nj i m 
DOPLNIT       d o p l nj i t 
DOPLÁCET       d o p l aa c e t 
DOPLŇUJÍ       d o p l nj u j ii 
DOPLŇUJÍCÍ       d o p l nj u j ii c ii 
DOPOLEDNE       d o p o l e d n e 
DOPORUČENÍ       d o p o r u ch e nj ii 
DOPORUČIL       d o p o r u ch i l 
DOPORUČUJEME       d o p o r u ch u j e m e 
DOPORUČUJU       d o p o r u ch u j u 
DOPOSUD       d o p o s u t 
DOPOČÍTAT       d o p o ch ii t a t 
DOPRAVA       d o p r a v a 
DOPRAVIT       d o p r a v i t 
DOPRAVNÍ       d o p r a v nj ii 
DOPRAVU       d o p r a v u 
DOPŘEDU       d o p rsh e d u 
DOPŘIPOJISTIT       d o p rsh i p o j i s tj i t 
DORAZILA       d o r a z i l a 
DORAZILI       d o r a z i l i 
DORAZIT       d o r a z i t 
DORAZÍME       d o r a z ii m e 
DORAŽ       d o r a sh 
DORTY       d o r t i 
DORYCHTOVAT       d o r i x t o v a t 
DORŮSTÁ       d o r uu s t aa 
DOSAZUJU       d o s a z u j u 
DOSKLÍZELI       d o s k l ii z e l i 
DOSKOČIM       d o s k o ch i m 
DOSLECHU       d o s l e x u 
DOSLOVA       d o s l o v a 
DOSPĚLEJ       d o s p j e l e j 
DOSPĚLEJŠÍ       d o s p j e l e j sh ii 
DOSPĚLI       d o s p j e l i 
DOSPĚLÍ       d o s p j e l ii 
DOST       d o s t 
DOSTAL       d o s t a l 
DOSTALA       d o s t a l a 
DOSTALAS       d o s t a l a s 
DOSTALI       d o s t a l i 
DOSTALO       d o s t a l o 
DOSTALS       d o s t a l s 
DOSTALY       d o s t a l i 
DOSTANE       d o s t a n e 
DOSTANEM       d o s t a n e m 
DOSTANEME       d o s t a n e m e 
DOSTANEŠ       d o s t a n e sh 
DOSTANOU       d o s t a n ow 
DOSTANU       d o s t a n u 
DOSTAT       d o s t a t 
DOSTATEK       d o s t a t e k 
DOSTATEČNÉ       d o s t a t e ch n ee 
DOSTÁNÍ       d o s t aa nj ii 
DOSTÁVAT       d o s t aa v a t 
DOSTÁVÁ       d o s t aa v aa 
DOSTÁVÁM       d o s t aa v aa m 
DOSTÁVÁŠ       d o s t aa v aa sh 
DOSUD       d o s u t 
DOSÁHLI       d o s aa h l i 
DOSÁHLO       d o s aa h l o 
DOSÁHNE       d o s aa h n e 
DOSÁHNOUT       d o s aa h n ow t 
DOTACE       d o t a c e 
DOTACI       d o t a c i 
DOTAZ       d o t a s 
DOTAZNÍK       d o t a z nj ii k 
DOTEKOVÉ       d o t e k o v ee 
DOTKLO       d o t k l o 
DOTYKOVÉ       d o t i k o v ee 
DOUFAM       d ow f a m 
DOUFAT       d ow f a t 
DOUFEJME       d ow f e j m e 
DOUFÁ       d ow f aa 
DOUFÁM       d ow f aa m 
DOUFÁME       d ow f aa m e 
DOUČOVÁNÍ       d ow ch o v aa nj ii 
DOVEDEŠ       d o v e d e sh 
DOVEDU       d o v e d u 
DOVEZL       d o v e z l 
DOVEZLA       d o v e z l a 
DOVEZOU       d o v e z ow 
DOVNITŘ       d o v nj i t rsh 
DOVOLALA       d o v o l a l a 
DOVOLALI       d o v o l a l i 
DOVOLAT       d o v o l a t 
DOVOLENOU       d o v o l e n ow 
DOVOLENÁ       d o v o l e n aa 
DOVOLENÉ       d o v o l e n ee 
DOVOLENÝ       d o v o l e n ii 
DOVOLIT       d o v o l i t 
DOVOLOVAT       d o v o l o v a t 
DOVOLUJI       d o v o l u j i 
DOVOLÁVAT       d o v o l aa v a t 
DOVOLÁŠ       d o v o l aa sh 
DOVOPRAVDY       d o v o p r a v d i 
DOVOZ       d o v o s 
DOVÍST       d o v ii s t 
DOVĚDĚLA       d o v j e dj e l a 
DOZADU       d o z a d u 
DOZADĚJC       d o z a dj e j c 
DOZIT       d o z i t 
DOZRÁNÍ       d o z r aa nj ii 
DOZRÁVÁ       d o z r aa v aa 
DOZVIM       d o z v i m 
DOZVÍ       d o z v ii 
DOZVÍDÁM       d o z v ii d aa m 
DOZVĚDLA       d o z v j e d l a 
DOZVĚDĚLA       d o z v j e dj e l a 
DOČETLA       d o ch e t l a 
DOČKALA       d o ch k a l a 
DOČTE       d o ch t e 
DOŘEDIT       d o rzh e dj i t 
DOŘEŠÍME       d o rzh e sh ii m e 
DOŠLA       d o sh l a 
DOŠLI       d o sh l i 
DOŠLO       d o sh l o 
DOŠLY       d o sh l i 
DOŠTÍPANÍ       d o sh tj ii p a nj ii 
DOŽRALO       d o zh r a l o 
DOŽÍNKY       d o zh ii ng k i 
DR       d r 
DRAHEJ       d r a h e j 
DRAHO       d r a h o 
DRAHUŠCE       d r a h u sh c e 
DRAHÉ       d r a h ee 
DRAHÝ       d r a h ii 
DRAMA       d r a m a 
DRASTICKY       d r a s t i c k i 
DRAVEČKA       d r a v e ch k a 
DRAČÍ       d r a ch ii 
DRAČÍCH       d r a ch ii x 
DRAŽBY       d r a zh b i 
DRAŽŠÍ       d r a sh ii 
DRBNY       d r b n i 
DRBY       d r b i 
DROBKY       d r o p k i 
DROBNOSTI       d r o b n o s tj i 
DROBNOSTÍ       d r o b n o s tj ii 
DROBNÁ       d r o b n aa 
DROBNÉ       d r o b n ee 
DROBNÝ       d r o b n ii 
DROBOUNKÝ       d r o b ow ng k ii 
DROBÁTKO       d r o b aa t k o 
